"artid","kategorie","namelt"
5420,"A","Acanthis flammea"
4620,"A","Curruca curruca"
4910,"A","Prunella collaris"
2230,"A","Scolopax rusticola"
3040,"A","Cuculus canorus"
5160,"A","Lanius collurio"
1560,"A","Alectoris graeca"
1510,"A","Lyrurus tetrix"
4070,"A","Phoenicurus phoenicurus"
5690,"A","Emberiza cia"
3140,"A","Strix aluco"
2980,"A","Columba oenas"
1130,"A","Accipiter nisus"
4090,"A","Saxicola rubetra"
5290,"A","Montifringilla nivalis"
3660,"A","Oriolus oriolus"
3450,"A","Dryobates minor"
3370,"A","Jynx torquilla"
3200,"A","Aegolius funereus"
3430,"A","Dendrocoptes medius"
5640,"A","Emberiza cirlus"
3170,"A","Asio otus"
3960,"A","Tichodroma muraria"
3460,"A","Picoides tridactylus"
4020,"A","Luscinia megarhynchos"
4610,"A","Curruca communis"
3120,"A","Glaucidium passerinum"
3070,"A","Tyto alba"
1670,"A","Rallus aquaticus"
3560,"A","Lullula arborea"
1080,"A","Pernis apivorus"
4430,"A","Locustella luscinioides"
2750,"A","Sterna hirundo"
4520,"A","Hippolais polyglotta"
3090,"A","Bubo bubo"
1420,"A","Falco peregrinus"
3360,"A","Upupa epops"
4390,"A","Locustella naevia"
470,"A","Botaurus minutus"
5570,"A","Emberiza calandra"
4530,"A","Hippolais icterina"
2140,"A","Actitis hypoleucos"
3130,"A","Athene noctua"
3080,"A","Otus scops"
590,"A","Anser anser"
5500,"A","Carpodacus erythrinus"
3440,"A","Dendrocopos leucotos"
1320,"A","Gypaetus barbatus"
4190,"A","Monticola solitarius"
1680,"A","Crex crex"
400,"A","Ardea purpurea"
1370,"A","Circaetus gallicus"
700,"A","Tadorna ferruginea"
1690,"A","Zapornia parva"
4950,"A","Anthus campestris"
1620,"A","Phasianus colchicus"
1540,"A","Lagopus muta"
1550,"A","Tetrastes bonasia"
1610,"A","Coturnix coturnix"
1110,"A","Astur gentilis"
3330,"A","Merops apiaster"
4930,"A","Anthus pratensis"
3320,"A","Alcedo atthis"
1200,"A","Aquila chrysaetos"
4180,"A","Monticola saxatilis"
1430,"A","Falco subbuteo"
4450,"A","Acrocephalus arundinaceus"
3280,"A","Apus pallidus"
3390,"A","Picus canus"
1500,"A","Tetrao urogallus"
3000,"A","Streptopelia turtur"
1850,"A","Vanellus vanellus"
1920,"A","Charadrius dubius"
3230,"A","Caprimulgus europaeus"
3770,"A","Pyrrhocorax pyrrhocorax"
3900,"A","Panurus biarmicus"
1710,"A","Porzana porzana"
4750,"A","Phylloscopus sibilatrix"
5450,"A","Carduelis citrinella"
810,"A","Aix galericulata"
4040,"A","Luscinia svecica"
4100,"A","Saxicola rubicola"
4870,"A","Ficedula albicollis"
704,"A","Alopochen aegyptiaca"
